Player Name,Team Name,Role,Dream 11 Points
A Badoni,LSG,Batsman,283
A Kamboj,MI,Bowler,54
A Madhwal,MI,Bowler,4
A Madhwal,MI,Bowler,144
A Manohar,GT,Batsman,6
A Mishra,LSG,Bowler,24
A Nortje,DC,Bowler,2
A Nortje,DC,Bowler,204
A Raghuvanshi,KKR,Batsman,207
A Taide,PBKS,Bowler,76
AA Kulkarni,LSG,Bowler,9
Abdul Samad,SRH,Batsman,221
Abhishek Sharma,SRH,All Rounder,634
Abhishek Sharma,SRH,All Rounder,58
Abishek Porel,DC,Wicket Keeper,407
AD Russell,KKR,All Rounder,288
AD Russell,KKR,All Rounder,564
AJ Turner,LSG,Bowler,25
AK Markram,SRH,All Rounder,252
Akash Deep,RCB,Bowler,24
AM Rahane,CSK,Batsman,279
Anmolpreet Singh,SRH,Bowler,4
Anuj Rawat,RCB,Batsman,114
AR Patel,DC,All Rounder,290
AR Patel,DC,All Rounder,328
AR Sharma,PBKS,Batsman,241
Arshad Khan,LSG,Bowler,109
Arshdeep Singh,PBKS,Bowler,5
Arshdeep Singh,PBKS,Bowler,572
AS Roy,KKR,Bowler,3
Avesh Khan,RR,Bowler,11
Avesh Khan,RR,Bowler,564
Azmatullah Omarzai,GT,All Rounder,48
Azmatullah Omarzai,GT,All Rounder,116
B Kumar,SRH,Bowler,24
B Kumar,SRH,Bowler,348
B Sai Sudharsan,GT,Batsman,641
C Green,RCB,All Rounder,299
C Green,RCB,All Rounder,296
CV Varun,KKR,Bowler,626
D Brevis,MI,Batsman,80
D Ferreira,RR,Bowler,8
D Padikkal,LSG,Batsman,37
DA Miller,GT,Batsman,258
DA Warner,DC,Batsman,215
DC Jurel,RR,Wicket Keeper,243
DG Nalkande,GT,Bowler,14
DG Nalkande,GT,Bowler,84
DJ Hooda,LSG,Batsman,175
DJ Mitchell,CSK,Batsman,383
DJ Mitchell,CSK,Batsman,24
DL Chahar,CSK,Bowler,146
F du Plessis,RCB,Batsman,563
G Coetzee,MI,Bowler,14
G Coetzee,MI,Bowler,392
GJ Maxwell,RCB,All Rounder,54
GJ Maxwell,RCB,All Rounder,176
Gulbadin Naib,DC,Wicket Keeper,22
H Klaasen,SRH,Wicket Keeper,612
Harpreet Brar,PBKS,Bowler,89
Harpreet Brar,PBKS,Bowler,208
Harpreet Singh,PBKS,Bowler,29
Harshit Rana,KKR,Bowler,576
HH Pandya,MI,All Rounder,255
HH Pandya,MI,All Rounder,324
HV Patel,PBKS,Bowler,12
HV Patel,PBKS,Bowler,714
I Sharma,DC,Bowler,294
Ishan Kishan,MI,Wicket Keeper,393
J Fraser-McGurk,DC,Batsman,454
JB Little,GT,Bowler,122
JC Buttler,RR,Wicket Keeper,451
JD Unadkat,SRH,Bowler,28
JD Unadkat,SRH,Bowler,234
JJ Bumrah,MI,Bowler,13
JJ Bumrah,MI,Bowler,616
JM Bairstow,PBKS,Wicket Keeper,377
JM Sharma,PBKS,Wicket Keeper,220
K Kushagra,DC,Bowler,1
K Nitish Kumar Reddy,SRH,All Rounder,378
K Nitish Kumar Reddy,SRH,All Rounder,84
K Rabada,PBKS,Bowler,26
K Rabada,PBKS,Bowler,326
KA Maharaj,RR,Bowler,60
KD Karthik,RCB,Wicket Keeper,417
KH Pandya,LSG,All Rounder,151
KH Pandya,LSG,All Rounder,178
KK Ahmed,DC,Bowler,528
KL Rahul,LSG,Wicket Keeper,637
KR Sen,RR,Bowler,174
KS Williamson,GT,Batsman,31
KT Maphaka,MI,Bowler,24
Kuldeep Yadav,DC,Bowler,53
Kuldeep Yadav,DC,Bowler,484
KV Sharma,RCB,Bowler,45
KV Sharma,RCB,Bowler,204
L Wood,MI,Bowler,11
L Wood,MI,Bowler,24
Lalit Yadav,DC,Bowler,11
LB Williams,DC,Batsman,24
LH Ferguson,RCB,Bowler,264
LS Livingstone,PBKS,All Rounder,133
LS Livingstone,PBKS,All Rounder,90
M Jansen,SRH,Bowler,23
M Markande,SRH,Bowler,234
M Pathirana,CSK,Bowler,396
M Shahrukh Khan,GT,Batsman,164
M Siddharth,LSG,Bowler,28
M Theekshana,CSK,Bowler,58
MA Agarwal,SRH,Batsman,74
MA Starc,KKR,Bowler,6
MA Starc,KKR,Bowler,512
MJ Henry,LSG,Bowler,24
MJ Santner,CSK,All Rounder,13
MJ Santner,CSK,All Rounder,58
MK Lomror,RCB,Batsman,154
MK Pandey,KKR,Bowler,50
MM Ali,CSK,All Rounder,161
MM Ali,CSK,All Rounder,56
MM Sharma,GT,Bowler,384
Mohammad Nabi,MI,All Rounder,39
Mohammad Nabi,MI,All Rounder,56
Mohammed Siraj,RCB,Bowler,14
Mohammed Siraj,RCB,Bowler,444
Mohsin Khan,LSG,Bowler,294
