Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s,Dream 11 Points,Reference,Role
,,,,,,,,,,,,,,,,,,
V Kohli,RCB,741,2024,15,15,3,113*,61.75,479,154.69,0,5,1,62,38,939,V Kohli,Batsman
RD Gaikwad,CSK,583,2024,14,14,3,108*,53,413,141.16,2,4,1,58,18,723,RD Gaikwad,Batsman
R Parag,RR,573,2024,16,14,3,84*,52.09,384,149.21,0,4,0,40,33,713,R Parag,Batsman
TM Head,SRH,567,2024,15,15,1,102,40.5,296,191.55,3,4,1,64,32,743,TM Head,Batsman
SV Samson,RR,531,2024,16,15,4,86,48.27,346,153.46,1,5,0,48,24,669,SV Samson,Wicket Keeper
B Sai Sudharsan,GT,527,2024,12,12,1,103,47.9,373,141.28,0,2,1,48,16,641,B Sai Sudharsan,Batsman
KL Rahul,LSG,520,2024,14,14,0,82,37.14,382,136.12,0,4,0,45,19,637,KL Rahul,Wicket Keeper
N Pooran,LSG,499,2024,14,14,6,75,62.37,280,178.21,1,3,0,35,36,634,N Pooran,Wicket Keeper
SP Narine,KKR,488,2024,15,14,0,109,34.85,270,180.74,1,3,1,50,33,648,SP Narine,All Rounder
Abhishek Sharma,SRH,484,2024,16,16,1,75*,32.26,237,204.21,0,3,0,36,42,634,Abhishek Sharma,Batsman
H Klaasen,SRH,479,2024,16,15,3,80*,39.91,280,171.07,0,4,0,19,38,612,H Klaasen,Wicket Keeper
RR Pant,DC,446,2024,13,13,2,88*,40.54,287,155.4,0,3,0,36,25,560,RR Pant,Wicket Keeper
F du Plessis,RCB,438,2024,15,15,0,64,29.2,271,161.62,0,4,0,47,21,563,F du Plessis,Batsman
PD Salt,KKR,435,2024,12,12,1,89*,39.54,239,182,1,4,0,50,24,569,PD Salt,Batsman
YBK Jaiswal,RR,435,2024,16,15,1,104*,31.07,279,155.91,1,1,1,54,16,547,YBK Jaiswal,Batsman
Shubman Gill,GT,426,2024,12,12,1,104,38.72,289,147.4,0,2,1,37,15,527,Shubman Gill,Batsman
RG Sharma,MI,417,2024,14,14,1,105*,32.07,278,150,1,1,1,45,23,532,RG Sharma,Batsman
NT Tilak Varma,MI,416,2024,13,13,3,65,41.6,278,149.64,0,3,0,35,19,515,NT Tilak Varma,Batsman
S Dube,CSK,396,2024,14,14,3,66*,36,244,162.29,2,3,0,28,28,504,S Dube,Batsman
RM Patidar,RCB,395,2024,15,13,0,55,30.38,223,177.13,1,5,0,21,33,526,RM Patidar,Batsman
MP Stoinis,LSG,388,2024,14,14,2,124*,32.33,263,147.52,1,2,1,39,16,491,MP Stoinis,All Rounder
T Stubbs,DC,378,2024,14,13,6,71*,54,198,190.9,1,3,0,24,26,482,T Stubbs,Batsman
VR Iyer,KKR,370,2024,15,13,5,70,46.25,233,158.79,0,4,0,35,19,479,VR Iyer,Batsman
JC Buttler,RR,359,2024,11,11,2,107*,39.88,255,140.78,1,0,2,36,12,451,JC Buttler,Wicket Keeper
Shashank Singh,PBKS,354,2024,14,14,6,68*,44.25,215,164.65,2,2,0,28,21,440,Shashank Singh,Batsman
SS Iyer,KKR,351,2024,15,14,5,58*,39,239,146.86,1,2,0,34,14,429,SS Iyer,Batsman
SA Yadav,MI,345,2024,11,11,1,102*,34.5,206,167.47,3,3,1,36,18,455,SA Yadav,Batsman
Prabhsimran Singh,PBKS,334,2024,14,14,0,71,23.85,213,156.8,1,2,0,34,20,426,Prabhsimran Singh,Batsman
J Fraser-McGurk,DC,330,2024,9,9,0,84,36.66,141,234.04,1,4,0,32,28,454,J Fraser-McGurk,Batsman
Abishek Porel,DC,327,2024,14,12,2,65,32.7,205,159.51,1,2,0,36,13,407,Abishek Porel,Batsman
KD Karthik,RCB,326,2024,15,13,4,83,36.22,174,187.35,1,2,0,27,22,417,KD Karthik,Wicket Keeper
Ishan Kishan,MI,320,2024,14,14,0,69,22.85,215,148.83,2,1,0,35,16,393,Ishan Kishan,Batsman
DJ Mitchell,CSK,318,2024,13,13,2,63,28.9,223,142.6,0,2,0,27,10,383,DJ Mitchell,Batsman
K Nitish Kumar Reddy,SRH,303,2024,13,11,2,76*,33.66,212,142.92,0,2,0,15,21,378,K Nitish Kumar Reddy,Batsman
JM Bairstow,PBKS,298,2024,11,11,1,108*,29.8,195,152.82,1,0,1,33,14,377,JM Bairstow,All Rounder
SM Curran,PBKS,270,2024,13,12,2,63*,27,219,123.28,1,2,0,24,6,320,SM Curran,All Rounder
RA Jadeja,CSK,267,2024,14,11,5,57*,44.5,187,142.78,0,1,0,22,8,315,RA Jadeja,Wicket Keeper
C Green,RCB,255,2024,13,12,4,46,31.87,178,143.25,0,0,0,22,10,299,C Green,Batsman
Q de Kock,LSG,250,2024,11,11,0,81,22.72,186,134.4,1,3,0,29,9,321,Q de Kock,Batsman
AM Rahane,CSK,242,2024,13,12,0,45,20.16,196,123.46,0,0,0,23,7,279,AM Rahane,Batsman
TH David,MI,241,2024,13,11,3,45*,30.12,152,158.55,1,0,0,14,15,287,TH David,Batsman
